iter	RMSE
0	45.6924919
1	44.49370567
2	43.50321272
3	42.58998093
4	41.79745989
5	41.06804426
6	40.50019438
7	40.01911007
8	39.54426571
9	39.08137634
10	38.65531458
11	38.32718283
12	38.01097594
13	37.67684463
14	37.40817028
15	37.1817803
16	36.89792523
17	36.64694049
18	36.48507225
19	36.28968398
20	36.1029775
21	35.92437457
22	35.75252924
23	35.61869829
24	35.48609307
25	35.37498634
26	35.25509315
27	35.15098906
28	35.01913073
29	34.90835043
30	34.81083728
31	34.70478062
32	34.59775475
33	34.51616136
34	34.44283563
35	34.33526336
36	34.23990502
37	34.16615593
38	34.09570747
39	34.02055746
40	33.92962539
41	33.83919671
42	33.76143838
43	33.71383326
44	33.66452331
45	33.61121545
46	33.52934131
47	33.45224252
48	33.39468397
49	33.34200925
50	33.28358841
51	33.23012877
52	33.17783779
53	33.13099501
54	33.07177634
55	33.01275448
56	32.95181678
57	32.89404104
58	32.84712644
59	32.80801776
60	32.7828234
61	32.72297987
62	32.66496716
63	32.6235544
64	32.58010238
65	32.53359428
66	32.47282486
67	32.39650393
68	32.35824243
69	32.32292529
70	32.27975447
71	32.24783098
72	32.20909199
73	32.16017507
74	32.12722048
75	32.0826685
76	32.0239612
77	31.99168859
78	31.94619508
79	31.92413562
80	31.86994652
81	31.8423311
82	31.7952213
83	31.7610373
84	31.72607819
85	31.68925044
86	31.64732566
87	31.61029043
88	31.57744352
89	31.5387111
90	31.49279145
91	31.4678845
92	31.42281664
93	31.36719462
94	31.33110478
95	31.28672869
96	31.2459574
97	31.22119353
98	31.19564656
99	31.16916472
100	31.12651604
101	31.09553863
102	31.06527778
103	31.02305796
104	30.99068382
105	30.9574232
106	30.93519583
107	30.88801191
108	30.8651099
109	30.82774253
110	30.75187295
111	30.72848767
112	30.69984696
113	30.65772333
114	30.60379965
115	30.55808444
116	30.51304893
117	30.48738203
118	30.47268042
119	30.44782875
120	30.41227795
121	30.37540938
122	30.34880174
123	30.30574774
124	30.25935458
125	30.22365443
126	30.20436012
127	30.16678934
128	30.1154709
129	30.08448378
130	30.04160207
131	30.01369325
132	29.9824702
133	29.94902305
134	29.92166373
135	29.89681919
136	29.86700686
137	29.81828335
138	29.78698453
139	29.75045559
140	29.7235975
141	29.70449632
142	29.67026688
143	29.65085361
144	29.61445232
145	29.58316507
146	29.56185922
147	29.53783958
148	29.50492261
149	29.46866897
150	29.44103455
151	29.40626198
152	29.37154721
153	29.34192015
154	29.31673537
155	29.29674277
156	29.26570705
157	29.22249614
158	29.20558949
159	29.16573628
160	29.14956924
161	29.10951857
162	29.07875279
163	29.05666153
164	29.03165484
165	29.01447711
166	28.95791881
167	28.92344993
168	28.89976106
169	28.86476333
170	28.83609428
171	28.80615877
172	28.78921199
173	28.77163208
174	28.74872856
175	28.72025784
176	28.69030323
177	28.65421996
178	28.6160215
179	28.59181454
180	28.56825104
181	28.5454193
182	28.51601929
183	28.4840947
184	28.4606719
185	28.44477448
186	28.41472819
187	28.37260377
188	28.34330915
189	28.31511493
190	28.29134917
191	28.26282329
192	28.22984004
193	28.19796176
194	28.16648711
195	28.13985933
196	28.11413922
197	28.08673375
198	28.06607266
199	28.04013867
200	28.0165491
201	27.9804175
202	27.95205616
203	27.93625348
204	27.91203086
205	27.89265459
206	27.86713349
207	27.8378715
208	27.81405575
209	27.79798159
210	27.78117798
211	27.75246765
212	27.73280325
213	27.70562781
214	27.69030271
215	27.67555968
216	27.64543345
217	27.62465867
218	27.58776207
219	27.55821226
220	27.53053954
221	27.50078824
222	27.47195277
223	27.45551875
224	27.4290861
225	27.40564094
226	27.38831551
227	27.3699448
228	27.35354594
229	27.33362707
230	27.31506494
231	27.29744641
232	27.2723175
233	27.25479753
234	27.22388512
235	27.2052118
236	27.17092849
237	27.14820692
238	27.13481292
239	27.11894823
240	27.10222615
241	27.07739591
242	27.0605267
243	27.03860049
244	27.01799561
245	26.98076702
246	26.96157458
247	26.93912408
248	26.92363231
249	26.90332049
250	26.8835082
251	26.86647407
252	26.84918215
253	26.83563503
254	26.81371674
255	26.79373029
256	26.77900263
257	26.76241542
258	26.7389142
259	26.71833783
260	26.69980746
261	26.67948718
262	26.66493767
263	26.64687235
264	26.63182468
265	26.62211367
266	26.59494646
267	26.5797785
268	26.57009015
269	26.55248614
270	26.53466788
271	26.52018102
272	26.49671872
273	26.4820138
274	26.46886136
