iter	Passed	Remaining
0	78	78827
1	136	68063
2	192	63862
3	247	61631
4	318	63437
5	386	63976
6	442	62789
7	495	61471
8	579	63800
9	635	62906
10	691	62146
11	771	63515
12	843	64052
13	927	65304
14	1041	68415
15	1103	67876
16	1181	68315
17	1265	69066
18	1331	68765
19	1401	68677
20	1470	68570
21	1543	68593
22	1606	68250
23	1690	68751
24	1761	68715
25	1862	69768
26	1928	69481
27	1982	68825
28	2038	68261
29	2108	68179
30	2172	67903
31	2245	67921
32	2331	68309
33	2401	68218
34	2455	67708
35	2513	67301
36	2594	67514
37	2652	67139
38	2707	66711
39	2777	66664
40	2847	66593
41	2900	66158
42	2979	66312
43	3044	66143
44	3096	65720
45	3164	65636
46	3232	65543
47	3287	65194
48	3357	65172
49	3442	65403
50	3508	65286
51	3574	65157
52	3647	65172
53	3703	64885
54	3760	64611
55	3832	64612
56	3893	64406
57	3947	64105
58	4020	64130
59	4085	64010
60	4137	63690
61	4209	63683
62	4274	63581
63	4366	63866
64	4447	63982
65	4518	63941
66	4606	64142
67	4682	64181
68	4750	64091
69	4804	63828
70	4884	63914
71	4939	63667
72	4995	63440
73	5066	63398
74	5131	63293
75	5186	63052
76	5258	63031
77	5325	62949
78	5386	62795
79	5445	62625
80	5516	62586
81	5571	62372
82	5656	62497
83	5720	62378
84	5808	62530
85	5908	62799
86	5976	62719
87	6046	62667
88	6113	62578
89	6170	62392
90	6226	62199
91	6297	62149
92	6363	62063
93	6418	61862
94	6495	61877
95	6560	61779
96	6616	61598
97	6699	61662
98	6773	61646
99	6836	61527
100	6918	61577
101	6991	61556
102	7078	61645
103	7157	61665
104	7227	61609
105	7306	61623
106	7366	61475
107	7457	61595
108	7528	61543
109	7623	61683
110	7701	61679
111	7767	61582
112	7852	61639
113	7918	61545
114	7994	61526
115	8077	61557
116	8158	61573
117	8229	61513
118	8290	61376
119	8352	61253
120	8410	61097
121	8488	61086
122	8562	61051
123	8622	60914
124	8677	60745
125	8761	60773
126	8813	60585
127	8869	60422
128	8944	60394
129	9008	60288
130	9067	60147
131	9141	60109
132	9205	60011
133	9260	59850
134	9358	59963
135	9438	59962
136	9527	60018
137	9589	59897
138	9671	59907
139	9749	59892
140	9817	59810
141	9872	59653
142	9951	59638
143	10006	59483
144	10061	59329
145	10136	59294
146	10202	59201
147	10290	59241
148	10368	59216
149	10427	59090
150	10482	58936
151	10558	58905
152	10628	58836
153	10693	58745
154	10760	58662
155	10824	58565
156	10889	58469
157	10961	58414
158	11033	58358
159	11091	58231
160	11164	58178
161	11228	58084
162	11281	57930
163	11356	57890
164	11411	57750
165	11463	57593
166	11518	57453
167	11590	57400
168	11650	57288
169	11705	57152
170	11760	57012
171	11835	56977
172	11892	56852
173	11971	56828
174	12079	56944
175	12201	57125
176	12294	57167
177	12436	57433
178	12528	57464
179	12625	57514
180	12717	57544
181	12816	57605
182	12881	57507
183	12959	57474
184	13031	57409
185	13091	57294
186	13170	57258
187	13251	57236
188	13331	57204
189	13414	57189
190	13496	57164
191	13562	57077
192	13619	56948
193	13706	56946
194	13778	56881
195	13847	56801
196	13905	56678
197	13966	56572
198	14019	56431
199	14090	56360
200	14153	56262
201	14215	56157
202	14267	56016
203	14370	56071
204	14425	55941
205	14480	55812
206	14548	55735
207	14610	55632
208	14671	55527
209	14757	55517
210	14812	55389
211	14865	55256
212	14945	55220
213	15002	55102
214	15057	54976
215	15128	54911
216	15187	54800
217	15242	54678
218	15319	54633
219	15371	54500
220	15428	54384
221	15498	54315
222	15558	54208
223	15612	54085
224	15680	54010
225	15772	54017
226	15873	54054
227	15960	54041
228	16031	53974
229	16101	53904
230	16169	53828
231	16236	53748
232	16291	53629
233	16366	53575
234	16423	53462
235	16479	53350
236	16562	53323
237	16619	53209
238	16671	53082
239	16750	53042
240	16804	52924
241	16861	52812
242	16936	52760
243	17007	52693
244	17062	52579
245	17140	52537
246	17206	52454
247	17273	52378
248	17346	52319
249	17402	52208
250	17460	52103
251	17543	52072
252	17598	51962
253	17650	51840
254	17724	51782
255	17785	51688
256	17837	51570
257	17908	51504
258	17972	51419
259	18030	51318
260	18101	51253
261	18165	51168
262	18230	51085
263	18305	51034
264	18362	50930
265	18430	50856
266	18497	50781
267	18564	50704
268	18624	50611
269	18700	50559
270	18760	50465
271	18812	50349
272	18881	50281
273	18944	50195
274	18995	50080
275	19068	50020
276	19133	49941
277	19188	49833
278	19293	49859
279	19354	49767
280	19426	49706
281	19491	49627
282	19546	49521
283	19607	49433
284	19680	49374
285	19762	49335
286	19822	49244
287	19889	49171
288	19947	49073
289	20001	48969
290	20073	48908
291	20138	48828
292	20196	48732
293	20272	48681
294	20328	48581
295	20382	48476
296	20458	48426
297	20523	48347
298	20575	48239
299	20654	48194
300	20711	48098
301	20764	47991
302	20838	47934
303	20914	47883
304	20977	47801
305	21060	47764
306	21147	47737
307	21215	47666
308	21276	47579
309	21341	47501
310	21399	47409
311	21465	47333
312	21541	47280
313	21604	47199
314	21683	47152
315	21740	47057
316	21794	46957
317	21863	46890
318	21930	46818
319	21982	46713
320	22059	46661
321	22134	46607
322	22227	46587
323	22289	46504
324	22356	46433
325	22411	46335
326	22479	46264
327	22537	46174
328	22592	46077
329	22658	46004
330	22714	45910
331	22770	45814
332	22841	45752
333	22894	45652
334	22947	45552
335	23006	45464
336	23072	45391
337	23134	45311
338	23189	45215
339	23243	45119
340	23320	45068
341	23382	44986
342	23449	44916
